Rank,Title,Release_Year,Domestic Box Office,International Box Office,Total Box Office
142,Big Hero 6,2014,"$222,527,828","$429,600,000","$652,127,828"
143,National Treasure 2: Book of Secrets,2007,"$219,961,501","$237,364,303","$457,325,804"
144,Alvin and the Chipmunks: The Squeakquel,2009,"$219,614,612","$223,868,601","$443,483,213"
145,Mrs. Doubtfire,1993,"$219,195,051","$222,090,952","$441,286,003"
146,Beauty and the Beast,1991,"$218,951,625","$232,378,217","$451,329,842"
147,Despicable Me 3,2017,"$218,800,350","$514,099,996","$732,900,346"
148,Ted,2012,"$218,665,740","$337,350,887","$556,016,627"
149,King Kong,2005,"$218,080,025","$332,437,332","$550,517,357"
150,Ghost,1990,"$217,631,306","$299,968,694","$517,600,000"
151,How to Train Your Dragon,2010,"$217,581,231","$277,289,760","$494,870,991"
152,The Da Vinci Code,2006,"$217,536,138","$550,284,321","$767,820,459"
153,Aladdin,1992,"$217,350,219","$286,700,000","$504,050,219"
154,Alvin and the Chipmunks,2007,"$217,326,974","$145,278,059","$362,605,033"
155,Madagascar 3: Europe's Most Wanted,2012,"$216,391,482","$530,529,789","$746,921,271"
156,Saving Private Ryan,1998,"$216,335,085","$268,700,000","$485,035,085"
157,Kung Fu Panda,2008,"$215,434,591","$416,475,940","$631,910,531"
158,Mission: Impossible 2,2000,"$215,409,889","$334,178,627","$549,588,516"
159,X2,2003,"$214,949,694","$192,761,855","$407,711,549"
160,Doctor Seuss' The Lorax,2012,"$214,030,500","$136,946,253","$350,976,753"
161,Austin Powers in Goldmember,2002,"$213,117,789","$79,620,837","$292,738,626"
162,Back to the Future,1985,"$212,259,762","$173,265,100","$385,524,862"
163,300,2007,"$210,614,939","$243,546,996","$454,161,935"
164,Fast Five,2011,"$209,837,675","$420,132,129","$629,969,804"
165,Mission: Impossible—Ghost Protocol,2011,"$209,397,903","$485,315,327","$694,713,230"
166,The Wedding Crashers,2005,"$209,218,368","$74,000,000","$283,218,368"
167,Sherlock Holmes,2009,"$209,028,679","$289,409,533","$498,438,212"
168,Dawn of the Planet of the Apes,2014,"$208,545,589","$502,098,977","$710,644,566"
169,Charlie and the Chocolate Factory,2005,"$206,459,076","$269,366,408","$475,825,484"
170,Ratatouille,2007,"$206,445,654","$420,104,041","$626,549,695"
171,Thor: The Dark World,2013,"$206,362,140","$438,240,376","$644,602,516"
172,Austin Powers: The Spy Who Shagged Me,1999,"$206,040,085","$104,292,551","$310,332,636"
173,Batman Begins,2005,"$205,343,774","$153,798,948","$359,142,722"
174,The Amazing Spider-Man 2,2014,"$202,853,933","$506,142,403","$708,996,336"
175,World War Z,2013,"$202,359,711","$329,154,939","$531,514,650"
176,The Exorcist,1973,"$202,347,346","$197,867,132","$400,214,478"
177,The Mummy Returns,2001,"$202,007,640","$233,032,755","$435,040,395"
178,Terminator 2: Judgment Day,1991,"$201,858,746","$311,956,655","$513,815,401"
179,Armageddon,1998,"$201,578,182","$353,021,818","$554,600,000"
180,Cinderella,2015,"$201,151,353","$333,400,000","$534,551,353"
181,Tangled,2010,"$200,821,936","$385,760,000","$586,581,936"
182,Godzilla,2014,"$200,676,069","$328,400,000","$529,076,069"
183,Superman Returns,2006,"$200,120,000","$173,965,065","$374,085,065"
184,Spectre,2015,"$200,074,175","$679,546,748","$879,620,923"
185,Gone with the Wind,1939,"$198,680,470","$191,844,722","$390,525,192"
186,Pearl Harbor,2001,"$198,539,855","$250,700,000","$449,239,855"
187,Monsters vs. Aliens,2009,"$198,351,526","$183,335,854","$381,687,380"
188,Happy Feet,2006,"$198,000,317","$187,000,000","$385,000,317"
189,Indiana Jones and the Last Crusade,1989,"$197,171,806","$277,000,000","$474,171,806"
190,Ice Age: Dawn of the Dinosaurs,2009,"$196,573,705","$663,128,152","$859,701,857"
191,Ice Age: The Meltdown,2006,"$195,330,621","$456,568,661","$651,899,282"
